holding_pressure;holding_pressure_time;melt_temp;mold_temp;cooling_time;volume_flow;max_deformation;lego
100;9.5;240;40;24.0;150.0385;1.15321517;6x1_Lego
350;9.5;260;40;24.0;150.0385;1.019503713;6x1_Lego
350;9.5;220;40;24.0;150.0385;0.9570689796999999;6x1_Lego
350;9.5;240;60;24.0;150.0385;1.200590014;6x1_Lego
350;9.5;240;20;24.0;150.0385;0.7249717116000001;6x1_Lego
350;16.0;240;40;24.0;150.0385;0.9521875381;6x1_Lego
350;3.0;240;40;24.0;150.0385;1.384723186;6x1_Lego
350;9.5;240;40;31.989;150.0385;0.9488786459;6x1_Lego
350;9.5;240;40;16.011;150.0385;1.050304174;6x1_Lego
173;4.9;226;26;18.3;100.5385;1.073293686;6x1_Lego
173;4.9;226;26;18.3;199.5385;1.089650035;6x1_Lego
527;4.9;226;26;18.3;100.5385;0.7947575450000001;6x1_Lego
527;4.9;226;26;18.3;199.5385;0.8119430542;6x1_Lego
173;4.9;254;26;18.3;100.5385;1.257593751;6x1_Lego
173;4.9;254;26;18.3;199.5385;1.275445223;6x1_Lego
527;4.9;254;26;18.3;100.5385;0.9665971398;6x1_Lego
527;4.9;254;26;18.3;199.5385;0.9914086461;6x1_Lego
173;4.9;226;54;18.3;100.5385;1.475242376;6x1_Lego
173;4.9;226;54;18.3;199.5385;1.5009526009999998;6x1_Lego
527;4.9;226;54;18.3;100.5385;1.094213009;6x1_Lego
527;4.9;226;54;18.3;199.5385;1.112807155;6x1_Lego
173;4.9;254;54;18.3;100.5385;1.649246573;6x1_Lego
173;4.9;254;54;18.3;199.5385;1.666380763;6x1_Lego
527;4.9;254;54;18.3;100.5385;1.297548056;6x1_Lego
527;4.9;254;54;18.3;199.5385;1.316236496;6x1_Lego
173;14.1;226;26;18.3;100.5385;0.9519661068999999;6x1_Lego
173;14.1;226;26;18.3;199.5385;0.9539217353;6x1_Lego
527;14.1;226;26;18.3;100.5385;0.7432556151999999;6x1_Lego
527;14.1;226;26;18.3;199.5385;0.7463776469000001;6x1_Lego
173;14.1;254;26;18.3;100.5385;0.9593374729;6x1_Lego
173;14.1;254;26;18.3;199.5385;0.9637216926;6x1_Lego
527;14.1;254;26;18.3;100.5385;0.7501487136;6x1_Lego
527;14.1;254;26;18.3;199.5385;0.7509451509;6x1_Lego
173;14.1;226;54;18.3;100.5385;1.300159335;6x1_Lego
173;14.1;226;54;18.3;199.5385;1.302396417;6x1_Lego
527;14.1;226;54;18.3;100.5385;0.9581612348999999;6x1_Lego
527;14.1;226;54;18.3;199.5385;0.9582764506;6x1_Lego
